label,centroid
168,"[ 0.25915093  1.0119478   0.03102234  0.2632626  -0.1746723   0.37869612
  0.98007988  0.79766899  0.70514924 -0.01099761  0.75894813  1.35578652
  0.24199978 -0.18167321 -0.54974612  0.90201681  0.5091478  -0.39005495
 -0.39803824 -0.40758223  0.50991622  0.55428011  0.58569311]"
169,"[-0.05454147 -0.05745985 -1.19886619 -1.3388017  -1.13374022 -1.18127642
 -0.99256964 -0.99392297 -1.65236267 -0.98745212 -0.79565229 -0.7926163
 -0.60840386  1.24901899 -0.73312822 -0.7724533  -0.84702054 -0.39005495
 -0.39803824 -0.40758223 -1.95883224  0.55653699 -1.70100378]"
170,"[ 0.67241208 -0.08221164 -0.18990344 -0.23364237 -0.10040016 -0.6059762
  0.01047248 -0.22812711 -0.18431786  0.15688135  0.06310544  0.27579514
  0.04594068 -0.1820163   0.22698807 -0.56796264 -0.40524107 -0.39005495
  2.51232137 -0.40758223  0.51050824  0.55317216 -1.70100378]"
171,"[-4.91442053e-02 -9.13107005e-02  1.52368148e+00  4.49706116e-01
  8.03640005e-01 -5.43525849e-01  6.18462726e+00  1.50662555e+01
  6.75292708e-01  1.92481487e+00  1.59981612e+01  7.36146183e+00
  8.75222292e+00 -1.25528062e-01 -1.97273941e-01 -3.49149368e-01
  5.28099427e-03  7.17618668e-01  8.27376331e-01  7.02966568e-01
  4.13034275e-01  4.63641089e-01  4.22244667e-01]"
172,"[ 0.50187964  0.25347361 -0.464636   -0.0478398  -0.49112137  1.13115338
  0.02774496 -0.39833359  0.0296489  -0.97295453 -0.79280304 -0.78867149
 -0.61332397  1.24901899 -0.13881109  0.121309    0.10382507 -0.39005495
 -0.39803824 -0.40758223 -1.95883224  0.55653699  0.58788816]"
173,"[-1.48485809 -0.87402062  1.24556249  0.00623531  1.06684921 -0.89362631
 -0.37766223  0.20721083  0.49706999  1.9118882   0.57145056 -0.13381113
  0.1953892  -0.1803689  -0.30564404 -0.53403398  0.18390998  2.56374136
  2.51232137 -0.40758223  0.50766556  0.55563393  0.58788816]"
174,"[ 0.31042612  0.88681969  1.35377078  1.39074505  0.11124016  0.28361623
  0.14480934  1.29628211  0.77794976  0.15584052  0.21639528  0.43139912
 -0.07348456 -0.18075399  0.08449362 -0.31441788 -0.45515744 -0.39005495
 -0.39803824 -0.40758223  0.50833005  0.55238521  0.58115811]"
175,"[-1.30395167 -1.01979164 -0.67156876 -1.6087002   3.71214279 -1.17535875
 -0.98749713 -0.25069474 -2.07697738 -0.00739031  0.48222639  0.96962265
  4.11191872 -1.60985159 -0.73188404 -0.77214427 -0.84668673 -0.38873393
 -0.39803824 -0.40246403 -1.95551917 -1.79577326 -1.70100378]"
176,"[-1.38005176 -1.05205805 -0.45071359 -1.13057952  0.82633139  0.06309762
  0.37774425 -0.16170959 -1.13930132  0.10972325  0.40397116  0.70495254
  0.96433195  2.68005427 -0.57651609  0.71014313  3.60154682 -0.38834458
 -0.39803824 -0.40758223 -1.95883224 -1.79682575  0.58788816]"
177,"[ 0.80281502 -0.7193298   1.30339124  0.09367764  1.03277102 -0.6059762
 -0.42928229  0.12716772  0.48891227  1.75362511  0.38129413 -0.19842323
  0.0880898  -0.1820163  -0.44153851 -0.22455933  0.33664386 -0.39005495
  2.51232137  2.45349264  0.51050824  0.55572126  0.58788816]"
178,"[ 0.44808086  0.19399346 -0.62888496 -0.2281124  -0.53166851  1.24636525
 -0.18181184 -0.60442089 -0.43757674 -0.94850478 -0.77836186 -0.76867757
 -0.6010201   1.24901899  0.25325452 -0.11455121 -0.1857743  -0.39005495
 -0.39803824 -0.40758223 -1.95883224  0.55653699 -1.70100378]"
179,"[ 2.21523242e-01 -7.40318553e-02  1.84011883e+00  1.10607706e+00
  5.09828208e-01 -3.20902063e-01  6.66247756e-01  2.86070870e+00
  7.18876615e-01  6.07990936e-01  1.21331750e+00  9.74874030e-01
  4.85909872e-01 -1.80307598e-01 -3.88680863e-01  1.76271193e-03
  2.72879015e-01 -3.83001104e-01 -3.85875546e-01  2.45349264e+00
  5.07559775e-01  3.76697924e-01  5.87888163e-01]"
180,"[ 0.60637329  0.16233203 -0.33225843 -0.22630706 -0.23757794  0.28918035
 -0.16168189 -0.40246896 -0.37349843  0.22250813  0.02480777  0.15475004
  0.09270719  1.24901899  0.84741348 -0.54513268 -0.47795951 -0.38929989
 -0.39803824 -0.40758223 -1.95883224  0.55653699 -1.70100378]"
181,"[ 0.20994177 -0.1699758  -0.20358573  0.76188735 -0.55712075  2.79322271
  0.1250483  -0.16333414  0.21053417 -0.95319121 -0.75497885 -0.73630362
 -0.5868895  -0.1820163  -0.57705205  3.9683384   0.63842359 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.54444262 -1.70100378]"
182,"[-0.35067226 -0.07943726 -0.47467014 -1.53126142  3.58232489 -0.60297464
  0.65186176  0.00853084 -1.92848234  0.26855543  0.843148    0.9923014
  4.109972    1.24777461 -0.56271586 -0.08901429  2.08909331 -0.38491791
  2.49966763 -0.35533652 -1.95668499  0.55653699 -1.65920663]"
183,"[ 0.03438708  1.00073592 -0.5791267  -1.37836698  1.29150409 -0.89362631
  0.68062614 -0.14168618 -1.50607403  0.1023006   0.62094332  0.98090255
  1.80921233 -0.1820163  -0.50938088 -0.4488673   0.55112305  2.56374136
 -0.39803824 -0.40758223  0.51050824 -1.78862016 -1.66349405]"
184,"[-1.48954969 -0.89784592 -0.22818457 -1.45446294  3.62036314 -0.60621237
 -0.34909303 -0.48665688 -1.80937803  0.52412958 -0.03197951 -0.09903789
  1.25316907  1.2513688  -0.57552903 -0.08664525  2.11804292 -0.38762983
  2.51232137 -0.40523324 -1.95883224  0.55460483 -1.69912456]"
185,"[-1.47070364 -0.81382525  0.81158383 -0.01196388  0.7324568  -0.6059762
 -0.28631079  0.13954845  0.42536315  1.45892108  0.53911019 -0.0379219
  0.20730368 -0.1820163  -0.1440666  -0.35962378  0.04485202 -0.39005495
  2.51232137  2.45349264  0.51050824  0.55349647  0.58591668]"
186,"[ 0.36154502  0.32637306 -0.52151047  1.36865291 -0.8226748   2.86651032
  0.200453   -0.33554247  0.30682858 -1.00903671 -0.80597648 -0.80691021
 -0.62217449 -0.1820163   1.1891845  -0.30006893 -0.70403551 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55092706 -1.70100378]"
187,"[-1.44090561 -0.98046419  2.72154105  1.23715271  0.89579853  0.28192429
 -0.49869337  0.54677042  0.73226867  0.37084099 -0.28368806 -0.2743411
 -0.33856191 -0.18021738 -0.5530745   0.88062876  0.56181959 -0.39005495
 -0.39803824 -0.40758223  0.50740411  0.5506203   0.58069491]"
188,"[ 0.82451981 -0.70808254  0.05017686 -0.14611418  0.09662746 -0.31832609
 -0.18205238 -0.22886548 -0.01916075  0.26960448 -0.04185433  0.06655178
 -0.07893868 -0.1820163  -0.08780955 -0.27645362 -0.1326522  -0.39005495
 -0.39803824  2.45349264  0.51050824 -1.79682575  0.58788816]"
189,"[ 0.08937278  0.99997829 -0.46400804 -0.26994923 -0.37343088  1.37195941
  0.20446316 -0.31151181 -0.07521778 -0.94511326 -0.76248955 -0.74670223
 -0.59296662  1.25041138 -0.57692023  2.27071183  2.12332079 -0.39005495
 -0.39803824 -0.40758223 -1.95883224  0.55424717  0.5851043 ]"
190,"[ 0.61515391 -0.80839362  0.06164058  1.44981874 -0.54279243  1.34957126
  0.86087322  0.81258489  0.81525212 -1.0083088  -0.8055577  -0.80633041
 -0.62195426 -0.1820163   0.18238404 -0.14180116 -0.53322193 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55524629  0.58746972]"
191,"[ 0.31418458  0.84283978  0.87502109  0.01898803  0.71099831 -0.6059762
  0.16747403  0.82504337  0.61587071  1.40482292  1.2628719   0.41202962
  0.55659572 -0.1820163  -0.51027583 -0.18028107  0.43230213 -0.39005495
  2.51232137 -0.40758223  0.51050824  0.55653699  0.58612703]"
192,"[ 0.02995158 -0.00675558  1.74252395  0.04921515  1.45506754 -0.89362631
  0.13755242  1.64672211  0.54980072  3.02423307  2.64859965  0.40237498
  1.39851227 -0.1820163  -0.15999123 -0.56020938  0.07003854  2.56374136
  2.51232137  2.45349264  0.51050824  0.55653699  0.58576882]"
193,"[-1.47128955 -0.77920119 -0.51989936  1.0740847  -0.7843534   0.31108078
  0.43032858 -0.20347725  0.48128879  0.04159433  0.354932    0.73639508
  0.06509282 -0.17768639  3.31597857 -0.70225085 -0.7886093  -0.39005495
 -0.39803824 -0.40758223  0.50303671  0.53042807  0.57980836]"
194,"[ 0.05826781 -0.08611002  1.75922021  0.30592204  1.11584252 -0.31215334
  0.44868312  2.16424082  0.15119118  1.65679287  1.9665159   0.73475142
  1.24519577  1.30838955 -0.4485635   0.05903381  1.57139021 -0.39005495
 -0.39803824  2.39618928 -1.95883224  0.45890105  0.58133912]"
195,"[-0.29655279 -0.01991917 -0.6083971  -1.58773114  3.69829062 -0.89362631
  0.45641869 -0.27044775 -2.02525015  0.09813465  0.44060183  0.75522311
  3.53967833 -0.1824436  -0.57119054 -0.42950736  0.63499595  2.56374136
 -0.38934801 -0.40672792  0.50829623 -1.79050139 -1.70032033]"
196,"[-0.12837938  0.05436604 -1.09546023 -1.27104928 -0.83583373 -1.18031115
 -0.99073031 -0.88796267 -2.38238209 -0.79692669 -0.61540795 -0.54306665
  0.07562904 10.51473234 -0.73105367 -0.77230838 -0.84357659 -0.39005495
 -0.39315509 -0.40758223 -1.95883224 -1.79682575 -1.70100378]"
197,"[-1.44896521 -0.69946351  1.5350618   0.77842346  0.58757592  0.21915874
 -0.37989373  0.27169353  0.20794838  0.42276056 -0.13712094 -0.15671212
 -0.18902224 -0.17965485 -0.46729229  0.61948992  0.39082867 -0.39005495
 -0.39803824 -0.40758223  0.50643342  0.51381918 -1.70100378]"
198,"[ 0.54162372  0.20939567 -0.56321652 -0.70687999 -0.14717316 -0.08494543
 -0.14397687 -0.46529943 -0.55642595  0.07100138  0.03651395  0.2910208
  0.15874287 -0.1820163   0.11662173 -0.50155362 -0.57232767 -0.39005495
 -0.39803824 -0.40685181  0.51050824 -1.79682575 -1.70100378]"
199,"[ 0.82456667 -0.72706135  1.30204702  0.08481955  1.02265955 -0.89362631
 -0.43769635  0.12185163  0.52357043  1.7592201   0.36478588 -0.20365266
  0.06519159 -0.18146843 -0.41555922 -0.50605745  0.30415996  2.56374136
  2.51232137 -0.40758223  0.50956286  0.55563601  0.58788816]"
200,"[-1.45436965 -0.83517846  1.99325365  0.91736941  0.72009332 -0.31832609
 -0.41831032  0.46369292  0.72773048  1.04763838  0.08551676 -0.18410101
 -0.13804906 -0.1805057  -0.37094374 -0.00733974  0.25533562 -0.39005495
 -0.39803824  2.45349264  0.50790162  0.55239666  0.58788816]"
201,"[ 0.43617563  0.56482664 -0.1911213   0.74474134 -0.52402531  0.38670128
  2.81407616  1.8911717   0.73002021  0.00973945  2.26269507  3.36408054
  1.05641419 -0.17345511  0.52819576 -0.46567379 -0.60030949 -0.39005495
 -0.39803824 -0.40758223  0.49573538  0.5002209   0.52995487]"
202,"[ 0.12398814  0.9847498   1.02737828 -0.06214935  0.96764619 -0.89362631
 -0.34038991  0.14191179  0.46376887  1.54300168  0.44884085 -0.11046964
  0.1317178  -0.1820163  -0.46585065 -0.48980676  0.3742327   2.56374136
 -0.39803824  2.45349264  0.51050824  0.55653699  0.5862791 ]"
203,"[ 0.39072178 -0.06596236  2.18128441  0.29185291  1.47152401 -0.31545597
 -0.49558959  0.29055266  0.09783308  1.72283378  0.20708977 -0.28633181
  0.07021678  1.28788857 -0.56906474  0.24051542  2.09740419 -0.39005495
 -0.39803824  2.42494533 -1.95883224  0.49261527  0.58661938]"
204,"[ 0.5670349   0.31180671  0.20654139 -1.00068626  1.69315521  0.04761931
 -0.33314373 -0.20947711 -0.51748911  1.43305755  0.46420786 -0.05734378
  0.50960214 -0.1820163  -0.52328117  0.54992128  0.48592465 -0.39005495
 -0.39803824 -0.4049777   0.51050824 -1.79575458 -1.70100378]"
205,"[ 0.18026093  1.04481537  0.51410513  0.36860299  0.14325597 -0.31832609
  0.6867595   1.10707916  0.68981113  0.46149917  1.02402362  0.99255795
  0.39790237 -0.18153528 -0.55945651  0.20383849  0.55934405 -0.39005495
 -0.39803824  2.45349264  0.50967821  0.51382049  0.58788816]"
206,"[-0.31414753  0.0128367  -0.65774462 -1.41530327  1.22030957 -0.6059762
  0.06168977 -0.50962136 -1.55511462 -0.00487573  0.02294607  0.33388121
  0.86305327  1.24964774 -0.41166176 -0.43160341  0.62604446 -0.39005495
  2.51232137 -0.40758223 -1.95883224  0.555503    0.58788816]"
207,"[-1.50832641  1.17083778 -1.21047923 -1.77309712 -1.16332641 -1.18127642
 -0.99256964 -0.99992763 -2.54403066 -1.00903671 -0.80597648 -0.80691021
 -0.62217449 -1.61305158 -0.73312822 -0.7724533  -0.84702054 -0.39005495
 -0.39803824 -0.40758223 -1.95883224 -1.79682575 -1.70100378]"
208,"[-1.48493456 -0.90101417 -0.23414548 -0.03292817 -0.28986771 -0.6059762
 -0.16164333 -0.36335887  0.46733485  0.26430637 -0.01559249  0.09298915
 -0.14801691 -0.1820163   0.81444566 -0.69106574 -0.67119171 -0.39005495
  2.51232137 -0.40758223  0.51050824  0.5545152   0.58657723]"
209,"[ 0.41656051  0.49553488 -0.61844397  0.57416046 -0.7661536   1.27202791
  0.33172982 -0.35528844  0.46103516 -1.00714042 -0.805256   -0.80591271
 -0.6217153  -0.1820163   1.29544029 -0.53392056 -0.72675574 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55653699  0.58788816]"
210,"[-1.46480302 -1.01092359  1.07710972  1.40012119 -0.03758529  1.1704054
 -0.17045509  0.45975368  0.77845715 -1.00879374 -0.80589877 -0.80680263
 -0.62213362 -0.18166701  0.06080373 -0.03996218 -0.45891013 -0.39005495
 -0.39803824 -0.40758223  0.50990552  0.54964405  0.58118406]"
211,"[ 3.17525230e-01  2.81464860e-01 -4.07143354e-01 -1.07614269e+00
  7.90090235e-01 -7.86176677e-02  2.10707802e+01  1.20162111e+01
 -1.42904575e+00 -1.36227771e-02  1.67732779e+01  2.35317007e+01
  2.80701860e+01  1.96453663e+00 -2.43707866e-01 -3.02844825e-02
  1.32997397e+00 -6.18553565e-02  8.70216927e-02 -8.96850237e-02
 -8.61347583e-01 -1.14311388e+00 -1.31952179e+00]"
212,"[ 0.33373436  0.83632691  0.04735693  0.48693489 -0.27843814  0.53647207
  0.14154447  0.12654888  0.63243849 -0.01266242  0.11131169  0.46216737
 -0.10428362 -0.1820163  -0.11636687 -0.16126886 -0.38211797 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55653699  0.58788816]"
213,"[ 0.32445466  0.86283415  0.03084857 -0.23998929  0.15519002 -0.89362631
 -0.03481389 -0.1274127   0.27848713 -0.01341694 -0.0572668   0.22962712
 -0.13258894 -0.18172038 -0.50714602 -0.47680941  0.43070006  2.56374136
 -0.39803824 -0.40758223  0.50999763  0.55653699  0.58788816]"
214,"[ 0.69871547 -0.69404439 -1.19133147 -0.19619765 -1.14447897 -1.18127642
 -0.99256964 -0.98992335 -0.04498142 -0.97344769 -0.7887755  -0.78309533
 -0.6097716   1.24901899 -0.73312822 -0.7724533  -0.84702054 -0.39005495
 -0.39803824 -0.40758223 -1.95883224  0.55653699  0.58788816]"
215,"[-1.47327804  0.82595339  0.64984984  1.19516761 -0.17595895  1.43056396
  0.19025727  0.53689136  0.7913961  -0.98914799 -0.79316694 -0.78917532
 -0.61531197 -0.18154757 -0.56966467  2.2423157   0.60299166 -0.39005495
 -0.39803824 -0.40758223  0.50969942  0.5503703   0.56764575]"
216,"[-1.49286745 -1.14922359 -0.51162189 -0.41523487 -0.35839058  1.1486312
  0.15988201 -0.37264616  0.27407475 -1.00243849 -0.80142364 -0.80060678
 -0.61944268 -0.1820163  -0.57572865  1.98817777  0.6320324  -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55653699  0.58788816]"
217,"[ 0.72212898 -0.72819097 -0.54963433  0.08866869 -0.59594496 -0.31832609
  0.18740715 -0.37319852 -0.11354699  0.12001055  0.20221176  0.46833019
  0.13418474 -0.1820163   2.09841783 -0.71141707 -0.75911252 -0.39005495
 -0.39803824  2.45349264  0.51050824 -1.79682575  0.5858599 ]"
218,"[-1.41057873 -0.69516458 -0.51967181 -0.57330347 -0.1486154  -0.89362631
  0.0991375  -0.4040053  -0.96155642  0.2178447   0.1770543   0.35950453
  0.57985197 -0.1820163   2.06946875 -0.7508967  -0.75387922  2.56374136
 -0.39803824 -0.40758223  0.51050824 -1.78455587 -1.70100378]"
219,"[ 0.35096075  0.88759098 -0.6518044   0.87257674 -0.82412731  1.281658
  0.28977572 -0.40172947 -0.19068465 -0.9947142  -0.80209126 -0.8015311
 -0.61937808 -0.1820163   3.01892816 -0.64588909 -0.78379656 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.53048981 -1.70100378]"
220,"[ 5.69065630e-01  1.59673141e-01  4.87042284e-01  1.94516922e-01
  2.22502251e-01 -6.05976201e-01 -2.53769834e-01  1.89352899e-02
  5.45315391e-01  1.34032522e+00  5.24861510e-01 -1.61600856e-03
  1.55757372e-01 -1.82016297e-01  6.86707575e-01 -6.76420903e-01
 -6.39553155e-01 -3.90054946e-01  2.51232137e+00  2.45349264e+00
  5.10508241e-01  5.49245390e-01  5.85228723e-01]"
221,"[-1.442333   -0.66953604  0.7399647   0.0791923   0.58343249 -0.31832609
 -0.15602566  0.10505921 -0.070967    0.59025742  0.14364061  0.08444202
  0.08051513  1.25085247 -0.56461408  0.21721305  2.00468886 -0.39005495
 -0.39803824  2.45349264 -1.95883224  0.55352179  0.58642186]"
222,"[-4.32498479e-01 -1.53281062e-01 -6.15415619e-01 -1.55825765e+00
  3.27997255e+00 -4.92336652e-01  7.75242899e+00  3.26117583e+00
 -1.95169190e+00  9.69787705e-02  6.52040466e+00  8.46364109e+00
  2.13264176e+01  1.77903205e+00 -5.67125992e-01  2.72975810e-02
  2.57166713e+00  7.76876928e-01  2.12777972e-01  1.62807124e-02
 -9.52804638e-01 -1.24480239e+00 -1.33365076e+00]"
223,"[-0.12259751 -0.05307518 -0.56424364 -1.40921059  1.86974479  1.0542805
  0.13905351 -0.41332501 -2.26848512 -0.86182074 -0.7240132  -0.69407899
 -0.33293513  8.5723876  -0.56616168  1.78845398  9.2443405  -0.38426886
 -0.38663625 -0.40197778 -1.95883224 -1.79682575 -1.70100378]"
224,"[ 0.10735331  0.13747426  1.01767328  1.10832872  0.07862788  0.20925095
  2.74849733  5.15287413  0.73973946  0.04989498  2.27312113  3.23960153
  1.06016561 -0.16505781 -0.26383132  0.28241276  0.11282048 -0.33081746
 -0.28926455 -0.17546221  0.48124532  0.49646939  0.50860111]"
225,"[ 0.04218817  0.15732986  0.73773658  1.50695463 -0.23335606  1.46184817
  7.13820274 11.43808816  0.77749354 -1.00152415 -0.80041236 -0.79920666
 -0.61924849 -0.1658159  -0.18315     0.9339376  -0.05498685 -0.39005495
 -0.39803824 -0.40758223  0.48255344  0.51213392  0.54470152]"
226,"[ 0.34573656  0.95197423 -0.36664694  0.55505584 -0.60484655  1.37671878
  0.06323785 -0.31097939  0.1033024  -0.97607018 -0.7863481  -0.77973458
 -0.60798012 -0.1820163   0.39549498 -0.21387016 -0.58173316 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.5523986  -1.70100378]"
227,"[-1.49801118 -1.05614787 -0.60793707 -1.32613578  0.97627332 -0.6059762
  0.15271051 -0.43628434 -1.34516574  0.03426244  0.11948351  0.42881241
  0.76184601 -0.1820163  -0.56361161 -0.09524253  0.61601851 -0.39005495
  2.51232137 -0.40758223  0.51050824  0.55653699 -1.70100378]"
228,"[-1.47346881 -0.9188215  -0.39819027 -0.3771162  -0.18578089  0.51989357
 -0.16494938 -0.40894986 -0.60135116 -0.16576594 -0.23157352 -0.10602356
 -0.0631638   1.24901899  0.58598138 -0.45824315 -0.42430622 -0.38877236
 -0.39803824 -0.40758223 -1.95883224  0.55653699 -1.70100378]"
229,"[-1.45824353 -1.00007679 -0.04711492 -0.39457034  0.14387342  0.42673748
 -0.40809267 -0.43180321  0.45785992  0.14088592 -0.27149703 -0.14790264
 -0.29992337 -0.1820163  -0.56714037  1.07629746  0.5905564  -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55653699  0.58788816]"
230,"[ 0.48046867  0.27219611  0.16642057  0.17196131  0.03538289  0.30731031
 -0.07414811 -0.05393357  0.1418457   0.1609234   0.03802191  0.24254044
 -0.05715809  1.2505616  -0.5697999   0.95109807  2.05489381 -0.39005495
 -0.39803824 -0.40758223 -1.95883224  0.55400012  0.58706571]"
231,"[-0.0898269   0.70292272 -1.2103114  -1.77376811 -1.16332641 -1.18109613
 -0.99245795 -0.99985346 -2.54593695 -1.00872476 -0.80584895 -0.80673366
 -0.62217449 -1.61305158 -0.73312822 -0.7724533  -0.84702054 -0.38986981
 -0.39785583 -0.40740291 -1.95883224 -1.79682575 -1.70100378]"
232,"[ 0.33561662  0.83841475 -0.35426295  1.49304403 -0.75760422  2.85722489
  0.56595891  0.03934453  0.80078239 -0.98057069 -0.78182111 -0.77346693
 -0.60866924 -0.1820163   0.28878523  0.06191482 -0.59101097 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55653699  0.58788816]"
233,"[ 5.98257386e-02  1.72457770e-01  1.54480845e-01  6.10024662e-01
 -2.28334688e-01 -5.22022090e-03  1.34551165e+01  1.26208523e+01
  7.47025081e-01  1.27320788e-01  1.17290765e+01  1.47750177e+01
  6.30161115e+00 -1.06032123e-01  9.55063854e-03 -1.08705365e-01
 -1.46859474e-01  5.43214893e-02 -1.17073208e-02  4.81642082e-02
  4.44950529e-01  4.73232111e-01  5.27121121e-01]"
234,"[ 0.45046249  1.02198711  0.00830845  1.16848546 -0.5104865   0.39169054
  0.60490385  0.51020882  0.78153452 -0.01074419  0.45710081  0.9384049
  0.05576021 -0.1820163   0.54446583 -0.50054451 -0.62890618 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55653699  0.58788816]"
235,"[ 0.69533558 -0.17558438  0.98646916  0.70337507  0.23648324 -0.31832609
 -0.38937298  0.09817702  0.61671158  1.19395387  0.22336154 -0.15117972
 -0.03855791 -0.1820163   0.45956654 -0.60250514 -0.60225106 -0.39005495
 -0.39803824  2.45349264  0.51050824  0.55653699  0.58611199]"
236,"[-0.01702942 -0.27273008  3.89785557  0.55358321  2.29899295 -0.88078837
 -0.21524479  2.13849756  0.61169481  3.6362283   1.90763327  0.0175055
  0.91912079 -0.1820163  -0.49235194 -0.45450084  0.46328069  2.4978268
 -0.39397916  2.22205283  0.51050824 -0.11960349  0.54319571]"
237,"[ 0.65353062 -0.69930624 -0.32772481  0.42175485 -0.53803144  2.12150693
  0.24581396 -0.18986453  0.65399181 -0.98015622 -0.78993005 -0.78469381
 -0.61312671 -0.1820163  -0.57777724  3.17887913  0.6419258  -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55653699  0.58788816]"
238,"[-1.46978615 -0.79787027 -1.14615762 -0.28831558 -1.09068027 -1.18127642
 -0.99256964 -0.94756558 -0.12294463 -0.88948529 -0.71594714 -0.68226391
 -0.54697003  1.24901899 -0.73312822 -0.7724533  -0.84702054 -0.39005495
 -0.39803824 -0.40758223 -1.95883224  0.55653699  0.58788816]"
239,"[ 0.39793902  0.85856876  2.45938917  1.37556184  0.66876339  0.34886031
 -0.42091305  0.66571006  0.72664493  0.06453376 -0.32813781 -0.18749507
 -0.36161591 -0.1820163  -0.56315857  0.98481211  0.58432352 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55292569  0.58788816]"
240,"[ 0.19205281  0.37989185 -0.67334217 -1.4099405   1.16523989 -1.17215477
 -0.98945331 -0.64937446 -1.53490672 -0.01362278 -0.20396698  0.02657649
  0.44044702 -0.1820163  -0.7260616  -0.77062944 -0.84501143 -0.39005495
 -0.39803824 -0.39914248  0.51050824 -1.77599953 -1.70100378]"
241,"[ 0.12235554  0.11713111  0.35191267 -0.47732866  0.87921699 -0.89362631
  0.66853938  0.92555313 -0.16508396  1.29112862  1.9292      0.90601847
  1.48614802 -0.1820163  -0.10863394 -0.57190407  0.01950837  2.56374136
 -0.38974071 -0.40758223  0.51050824  0.46260376 -1.69937236]"
242,"[ 0.25525788  0.99559705 -0.56538024 -0.30776481 -0.46096856 -0.60607218
  0.16742708 -0.39281026  0.03124611  0.08867535  0.16057378  0.44599747
  0.0605224   1.24997396  1.39627962 -0.71717625 -0.60808622 -0.38906936
  2.51232137 -0.40758223 -1.95883224  0.55496651  0.58788816]"
243,"[ 0.2220789   0.12132437 -0.62331957 -0.00335987 -0.63059442 -0.6059762
  0.28607098 -0.37259598 -0.63155245  0.08066248  0.27162543  0.58005214
  0.51449988  1.24901899  2.89236559 -0.74159347 -0.71368202 -0.39005495
  2.51232137 -0.40758223 -1.95883224  0.55653699 -1.70100378]"
244,"[-0.24819057 -0.19650142  0.60164607 -0.80690618  1.92528566 -0.84316138
  0.49314244  1.01566026 -0.52755228  1.70128333  2.09795588  0.73865607
  2.07272741 -0.1820163  -0.330023   -0.46373464  0.25190739  2.30463642
 -0.39463431  2.42672235  0.51050824 -1.69773679  0.58788816]"
245,"[-1.2881132  -0.92036069 -0.12889294  0.56808589 -0.42518123  1.51162677
  2.2720043   1.43722513  0.6970045  -1.00347573 -0.79914988 -0.79745875
 -0.61831836 -0.17602034 -0.55439841  2.1799142   0.53423296 -0.39005495
 -0.39803824 -0.40758223  0.50016184  0.52859902  0.5287478 ]"
246,"[-1.42961295 -0.79825111  1.55462615  0.05013858  1.24254915 -0.6059762
 -0.43763514  0.1985251   0.5886963   2.1973447   0.54601724 -0.22112226
  0.15108449 -0.17842674 -0.38925895 -0.24763289  0.28820015 -0.39005495
  2.51232137 -0.40758223  0.50431424  0.55555314  0.50559523]"
247,"[ 0.29716599  0.40421441 -0.67478123 -1.6090066   3.6906305  -1.17681614
 -0.99035493 -0.77189341 -2.07784787 -0.01336117 -0.41390302 -0.26418301
  0.82108246 -1.61154721 -0.73296574 -0.7723625  -0.84682438 -0.38772607
 -0.39574361 -0.40457453 -1.95883224 -1.79558876 -1.70100378]"
248,"[-1.45640492 -0.72449798  1.31462623  0.63187646  0.54849221  0.0799864
 -0.35400744  0.19390199  0.23625368  0.65622344 -0.00864553 -0.12394819
 -0.11030521 -0.1820163  -0.44028945  0.42012783  0.33136362 -0.39005495
 -0.39803824 -0.40758223  0.51050824 -1.79682575  0.56781016]"
249,"[ 0.70802139 -0.42509044  1.13965294  0.85034404  0.25530931  0.10762236
 -0.34035868  0.26969265  0.71573113  1.1510567   0.30309789 -0.0875933
 -0.01525863 -0.18071732  0.26144065 -0.45178306 -0.53696582 -0.39005495
 -0.39803824 -0.40758223  0.50826678  0.5544008   0.58788816]"
250,"[ 0.1325027   0.39021044 -0.61900736 -1.34782908  1.03394242 -0.89362631
  0.16891263 -0.43529271 -1.41006061  0.01520038  0.11837558  0.44803603
  0.83626583 -0.18084906 -0.3820415  -0.59471263 -0.07838283  2.56374136
 -0.39803824 -0.40758223  0.5084941   0.55653699 -1.68700159]"
251,"[-0.1783275  -0.34454889  4.06885404  0.2307987   2.97909318 -0.89008756
 -0.64833798  0.5899758   0.6377995   4.89784402  0.83309642 -0.42366961
  0.29704998 -0.1820163  -0.54149781 -0.44412675  0.55389702  2.52740292
  2.48674703  2.39818188  0.51050824  0.554469    0.57179753]"
