label,centroid
29,"[ 0.52402415  0.24487374 -0.07509786 -0.83483146  0.9717172  -0.6059762
 -0.30101749 -0.44361317 -0.79954549  0.43431349 -0.10676946 -0.1034471
  0.11464993  1.24901899 -0.56296449 -0.11610415  1.98891911 -0.39005495
  2.51232137 -0.40758223 -1.95883224  0.55653699 -1.69985934]"
30,"[-1.4730817   0.79632055  0.18308781  1.21801083 -0.43425914  1.38781128
  0.24986022  0.3037439   0.77147084 -1.00009514 -0.8014315  -0.80061766
 -0.61958765 -0.1820163   0.1472168  -0.06951082 -0.50223002 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.54739549  0.58010849]"
31,"[ 0.7153597  -0.71854166  0.62533818 -0.08102191  0.58425116 -0.31832609
  0.18137553  0.67170414  0.57910284  1.32422143  1.25436834  0.44443987
  0.56839327 -0.1820163  -0.3533004  -0.07132643  0.16278422 -0.39005495
 -0.39803824  2.45349264  0.51050824  0.542552    0.58637684]"
32,"[ 0.30737597  0.7126104   0.29202235  0.74481578 -0.21159427  0.28396189
  0.18059022  0.25667207  0.268943    0.0498312   0.16081172  0.46947323
 -0.00851566 -0.1820163  -0.55391857  0.84980228  0.5431734  -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55345969 -1.70100378]"
33,"[ 7.61914708e-01 -7.42225122e-01 -5.15461873e-01  1.12285218e+00
 -7.88788859e-01  3.06963143e-01  3.16043674e-01 -2.61338825e-01
  5.24720246e-01  4.18747966e-02  2.60015498e-01  6.09261565e-01
 -8.43578569e-04 -1.82016297e-01  3.39976493e+00 -7.04231329e-01
 -7.90246264e-01 -3.90054946e-01 -3.98038243e-01 -4.07582232e-01
  5.10508241e-01  5.56536986e-01  5.87888163e-01]"
34,"[-1.4419222  -0.80606714  2.08998686  0.09388684  1.67845587 -0.89362631
 -0.44098059  0.43580652  0.5902463   2.7428611   0.76283722 -0.21729312
  0.27856946 -0.1820163  -0.44963728 -0.48714347  0.3857402   2.56374136
 -0.39803824  2.45349264  0.51050824  0.53342231  0.58507798]"
35,"[ 0.59091537  0.2902743  -1.19433655 -0.75205418 -1.13171972 -1.17989209
 -0.99239591 -0.99319173 -0.96808072 -0.97953736 -0.79452599 -0.79105692
 -0.61089871  2.68005427 -0.73203209 -0.77227099 -0.84664243 -0.39005495
 -0.39803824 -0.40758223 -1.95883224 -1.79682575  0.58788816]"
36,"[ 0.71344974 -0.70554631  0.39954412  0.97063187 -0.23020147  1.11234879
  0.10253571  0.25525517  0.75027804 -1.00047121 -0.80164543 -0.80091385
 -0.61982405 -0.1820163  -0.57853412  1.98189124  0.64558107 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55653699  0.58788816]"
37,"[ 0.37518792  0.54413054 -0.61543758 -0.34483823 -0.50685801 -0.31832609
  0.84134953 -0.10691027  0.6000769  -0.01362278  0.62758833  1.17787113
  0.20214846 -0.1820163   0.70268224 -0.64422051 -0.66233202 -0.39005495
 -0.39803824  2.45349264  0.51050824  0.55306339  0.58788816]"
38,"[-1.50488093 -0.980686   -0.52136713 -0.40311525 -0.37666369 -0.10398707
 -0.35011139 -0.49178581  0.5297382   0.1250235  -0.00991169  0.19171272
 -0.15693103 -0.1820163  -0.08640117 -0.46335472 -0.57421219 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55653699  0.58788816]"
